method,k,traffic,ir,mean,std,n,ci95
DDDQN,16,hotspot,0.08,994.3304,13.1759,5,11.5492
DDDQN,16,transpose,0.005,95.167,1.2095,5,1.0601
DDDQN,16,transpose,0.01,331.9698,8.2858,5,7.2628
DDDQN,16,transpose,0.02,411.2322,4.7612,5,4.1734
DDDQN,16,transpose,0.04,560.6244,6.957,5,6.0981
DDDQN,16,transpose,0.08,744.2552,6.6219,5,5.8043
DDDQN,16,uniform,0.005,91.1296,0.9956,5,0.8727
DDDQN,16,uniform,0.01,266.1896,25.5433,5,22.3897
DDDQN,16,uniform,0.02,451.46,42.0666,5,36.873
DDDQN,16,uniform,0.04,633.1442,49.5866,5,43.4646
DDDQN,16,uniform,0.08,680.5644,64.069,5,56.159
DyAD,4,hotspot,0.005,392.9478,79.1268,5,69.3577
DyAD,4,hotspot,0.01,530.9902,47.0017,5,41.1988
DyAD,4,hotspot,0.02,733.9256,49.7887,5,43.6417
DyAD,4,hotspot,0.04,886.0604,13.4513,5,11.7906
DyAD,4,hotspot,0.08,942.2578,13.144,5,11.5213
DyAD,4,transpose,0.005,36.24,0.5352,5,0.4691
DyAD,4,transpose,0.01,39.0013,0.9639,5,0.8449
DyAD,4,transpose,0.02,51.6993,3.5811,5,3.139
DyAD,4,transpose,0.04,327.9218,80.6681,5,70.7087
DyAD,4,transpose,0.08,433.0202,11.1904,5,9.8088
DyAD,4,uniform,0.005,39.8125,0.9627,5,0.8438
DyAD,4,uniform,0.01,45.177,0.5424,5,0.4754
DyAD,4,uniform,0.02,67.435,4.5436,5,3.9826
DyAD,4,uniform,0.04,446.257,32.1211,5,28.1554
DyAD,4,uniform,0.08,625.922,15.8845,5,13.9234
DyAD,8,hotspot,0.005,606.4536,22.6319,5,19.8377
DyAD,8,hotspot,0.01,738.1068,62.4419,5,54.7327
DyAD,8,hotspot,0.02,848.0216,18.1275,5,15.8894
DyAD,8,hotspot,0.04,941.6646,11.3455,5,9.9448
DyAD,8,hotspot,0.08,978.8574,11.9583,5,10.4819
DyAD,8,transpose,0.005,54.4237,0.4268,5,0.3741
DyAD,8,transpose,0.01,87.353,4.432,5,3.8848
DyAD,8,transpose,0.02,359.379,17.9234,5,15.7105
DyAD,8,transpose,0.04,429.0926,5.1444,5,4.5092
DyAD,8,transpose,0.08,662.6274,8.0705,5,7.0741
DyAD,8,uniform,0.005,55.8937,0.598,5,0.5242
DyAD,8,uniform,0.01,71.8131,0.4981,5,0.4366
DyAD,8,uniform,0.02,352.9064,38.2478,5,33.5257
DyAD,8,uniform,0.04,522.9844,21.9179,5,19.2119
DyAD,8,uniform,0.08,764.5106,22.8034,5,19.988
DyAD,16,hotspot,0.005,686.7968,29.002,5,25.4214
DyAD,16,hotspot,0.01,807.9522,37.2912,5,32.6872
DyAD,16,hotspot,0.02,904.9176,7.5981,5,6.66
DyAD,16,hotspot,0.04,944.4916,13.6691,5,11.9815
DyAD,16,hotspot,0.08,984.7324,18.087,5,15.854
DyAD,16,transpose,0.005,139.4344,10.5491,5,9.2467
DyAD,16,transpose,0.01,263.2652,7.5949,5,6.6572
DyAD,16,transpose,0.02,452.8584,8.0644,5,7.0688
DyAD,16,transpose,0.04,555.905,5.9992,5,5.2585
DyAD,16,transpose,0.08,719.2144,7.5124,5,6.5849
DyAD,16,uniform,0.005,94.2989,0.8297,5,0.7273
DyAD,16,uniform,0.01,304.7154,19.8671,5,17.4143
DyAD,16,uniform,0.02,484.9816,42.2829,5,37.0626
DyAD,16,uniform,0.04,696.3342,43.167,5,37.8376
DyAD,16,uniform,0.08,762.3376,58.996,5,51.7123
MinAdapt,4,hotspot,0.005,394.1602,56.4849,5,49.5112
MinAdapt,4,hotspot,0.01,578.8626,14.0921,5,12.3523
MinAdapt,4,hotspot,0.02,762.8158,24.4595,5,21.4397
MinAdapt,4,hotspot,0.04,888.6084,15.9654,5,13.9943
MinAdapt,4,hotspot,0.08,955.205,11.2855,5,9.8922
MinAdapt,4,transpose,0.005,38.1996,0.5756,5,0.5046
MinAdapt,4,transpose,0.01,44.9322,1.4988,5,1.3137
MinAdapt,4,transpose,0.02,241.5714,33.721,5,29.5577
MinAdapt,4,transpose,0.04,481.488,24.6991,5,21.6497
MinAdapt,4,transpose,0.08,537.8478,8.6096,5,7.5466
MinAdapt,4,uniform,0.005,39.4376,1.0259,5,0.8992
MinAdapt,4,uniform,0.01,44.7829,0.6939,5,0.6083
MinAdapt,4,uniform,0.02,68.2814,3.0131,5,2.6411
MinAdapt,4,uniform,0.04,501.9542,36.5262,5,32.0166
MinAdapt,4,uniform,0.08,635.238,13.4242,5,11.7668
MinAdapt,8,hotspot,0.005,537.2668,45.7297,5,40.0838
MinAdapt,8,hotspot,0.01,704.4466,50.7228,5,44.4605
MinAdapt,8,hotspot,0.02,844.8572,33.1458,5,29.0535
MinAdapt,8,hotspot,0.04,924.3708,23.8519,5,20.9071
MinAdapt,8,hotspot,0.08,972.2262,8.1516,5,7.1452
MinAdapt,8,transpose,0.005,65.8147,4.0212,5,3.5247
MinAdapt,8,transpose,0.01,208.2396,22.0987,5,19.3704
MinAdapt,8,transpose,0.02,283.3908,9.115,5,7.9897
MinAdapt,8,transpose,0.04,410.4994,9.4188,5,8.2559
MinAdapt,8,transpose,0.08,635.3716,7.9299,5,6.9509
MinAdapt,8,uniform,0.005,57.2043,0.8305,5,0.728
MinAdapt,8,uniform,0.01,81.273,3.5927,5,3.1491
MinAdapt,8,uniform,0.02,324.5096,31.1541,5,27.3078
MinAdapt,8,uniform,0.04,547.5014,15.5143,5,13.5989
MinAdapt,8,uniform,0.08,767.261,18.5364,5,16.2478
MinAdapt,16,hotspot,0.005,670.49,19.0197,5,16.6715
MinAdapt,16,hotspot,0.01,776.7778,30.2722,5,26.5348
