method,k,traffic,ir,seed,avg_lat,net_lat,flit_lat,accepted_pkt_rate,accepted_flit_rate,status
CreditMinAdapt,4,uniform,0.005,17,38.9444,37.951,17.6152,0.004781,0.095969,ok
CreditMinAdapt,4,uniform,0.01,42,43.7127,41.6003,18.9544,0.009734,0.195391,ok
CreditMinAdapt,4,uniform,0.01,1337,44.1209,41.8529,19.434,0.009562,0.191609,ok
CreditMinAdapt,4,uniform,0.01,2024,44.7119,41.874,19.5236,0.009547,0.191766,ok
CreditMinAdapt,4,uniform,0.01,314,43.7094,41.1781,18.9258,0.009984,0.201141,ok
DDDQN,16,transpose,0.04,314,561.786,220.538,168.99,0.011414,0.23184,ok
CreditMinAdapt,4,uniform,0.01,17,43.4058,41.7565,19.4773,0.009625,0.193297,ok
CreditMinAdapt,4,uniform,0.02,42,62.4545,52.5123,24.465,0.019703,0.396297,ok
CreditMinAdapt,4,uniform,0.02,1337,60.2972,51.7704,24.1008,0.019156,0.384422,ok
CreditMinAdapt,4,uniform,0.02,2024,64.8636,55.0287,25.7693,0.020125,0.403484,ok
CreditMinAdapt,4,uniform,0.02,314,62.9599,53.4451,25.2022,0.019422,0.390891,ok
CreditMinAdapt,4,uniform,0.02,17,65.8715,55.9951,26.4582,0.019281,0.387125,ok
CreditMinAdapt,4,uniform,0.04,42,425.941,82.1635,42.2025,0.031531,0.635094,ok
CreditMinAdapt,4,uniform,0.04,1337,351.929,79.732,40.1844,0.032297,0.651188,ok
CreditMinAdapt,4,uniform,0.04,2024,413.08,83.1324,43.1251,0.032219,0.647984,ok
CreditMinAdapt,4,uniform,0.04,314,412.263,80.4765,41.0236,0.032266,0.649531,ok
CreditMinAdapt,4,uniform,0.04,17,401.497,81.5506,42.1788,0.031813,0.639969,ok
CreditMinAdapt,4,uniform,0.08,42,611.198,81.5779,41.4836,0.0325,0.658656,ok
CreditMinAdapt,4,uniform,0.08,1337,606.258,79.3601,39.7329,0.032281,0.655,ok
CreditMinAdapt,4,uniform,0.08,2024,591.9,83.628,43.246,0.0315,0.639875,ok
CreditMinAdapt,4,uniform,0.08,314,608.246,83.2573,42.7555,0.031938,0.646719,ok
CreditMinAdapt,4,hotspot,0.005,42,494.823,393.293,317.515,0.003094,0.062203,ok
CreditMinAdapt,4,hotspot,0.005,1337,311.268,268.794,211.355,0.003031,0.062,ok
CreditMinAdapt,4,uniform,0.08,17,590.537,80.4995,41.0164,0.032844,0.665844,ok
CreditMinAdapt,4,hotspot,0.005,2024,399.245,296.643,237.828,0.003063,0.062156,ok
CreditMinAdapt,4,hotspot,0.005,314,359.357,303.01,241.288,0.003063,0.061969,ok
CreditMinAdapt,4,hotspot,0.01,42,534.031,419.773,347.341,0.003031,0.061937,ok
CreditMinAdapt,4,hotspot,0.005,17,445.545,325.677,257.059,0.003094,0.062203,ok
CreditMinAdapt,4,hotspot,0.01,2024,542.449,404.735,322.746,0.003063,0.062156,ok
CreditMinAdapt,4,hotspot,0.01,1337,553.206,410.041,323.406,0.003031,0.062,ok
DDDQN,16,transpose,0.04,17,569.069,220.053,168.425,0.01152,0.233369,ok
CreditMinAdapt,4,hotspot,0.01,17,480.485,408.557,329.107,0.003031,0.061906,ok
CreditMinAdapt,4,hotspot,0.01,314,596.495,415.278,326.403,0.003031,0.062,ok
CreditMinAdapt,4,hotspot,0.02,42,763.825,421.784,337.139,0.003031,0.062,ok
CreditMinAdapt,4,hotspot,0.02,1337,752.276,439.918,367.981,0.003063,0.062312,ok
CreditMinAdapt,4,hotspot,0.02,2024,721.99,450.639,371.895,0.003031,0.062062,ok
CreditMinAdapt,4,hotspot,0.02,314,772.103,424.753,342.675,0.003031,0.062,ok
CreditMinAdapt,4,hotspot,0.04,42,874.98,469.49,386.513,0.003063,0.062,ok
CreditMinAdapt,4,hotspot,0.02,17,710.082,438.825,353.855,0.003031,0.061906,ok
CreditMinAdapt,4,hotspot,0.04,1337,896.704,465.551,375.862,0.003063,0.062312,ok
CreditMinAdapt,4,hotspot,0.04,314,862.01,461.897,377.57,0.003031,0.061719,ok
CreditMinAdapt,4,hotspot,0.04,2024,893.337,414.551,338.16,0.003063,0.062062,ok
CreditMinAdapt,4,hotspot,0.08,42,954.52,472.204,391.562,0.003063,0.062125,ok
CreditMinAdapt,4,hotspot,0.04,17,896.071,455.755,368.95,0.003063,0.062,ok
CreditMinAdapt,4,hotspot,0.08,1337,942.66,446.454,374.927,0.003031,0.062312,ok
CreditMinAdapt,4,hotspot,0.08,2024,930.175,485.526,405.527,0.003031,0.06225,ok
CreditMinAdapt,4,hotspot,0.08,314,941.536,481.66,382.265,0.003031,0.06225,ok
CreditMinAdapt,4,hotspot,0.08,17,953.429,454.959,365.392,0.003063,0.062312,ok
CreditMinAdapt,4,transpose,0.005,1337,37.2712,36.6046,16.9191,0.004781,0.096172,ok
CreditMinAdapt,4,transpose,0.005,42,36.5623,35.5176,16.025,0.004891,0.098078,ok
CreditMinAdapt,4,transpose,0.005,2024,36.6863,35.6699,16.207,0.004781,0.095906,ok
CreditMinAdapt,4,transpose,0.005,17,36.9052,35.866,16.3083,0.004781,0.096016,ok
CreditMinAdapt,4,transpose,0.005,314,37.0218,35.8723,16.4789,0.004984,0.100656,ok
CreditMinAdapt,4,transpose,0.01,42,40.0097,37.8502,17.5148,0.009703,0.195094,ok
CreditMinAdapt,4,transpose,0.01,1337,38.7096,36.6248,16.5592,0.009578,0.191812,ok
CreditMinAdapt,4,transpose,0.01,2024,40.3534,38.1954,17.4088,0.009594,0.192172,ok
CreditMinAdapt,4,transpose,0.01,314,39.8203,37.5453,17.1345,0.01,0.200984,ok
CreditMinAdapt,4,transpose,0.01,17,39.6548,37.4473,17.2821,0.009641,0.193562,ok
CreditMinAdapt,4,transpose,0.02,42,53.0173,42.4583,19.5413,0.019813,0.397703,ok
CreditMinAdapt,4,transpose,0.02,1337,49.0462,41.8792,19.3413,0.01925,0.385813,ok
CreditMinAdapt,4,transpose,0.02,2024,50.3308,42.4129,19.3637,0.020125,0.403391,ok
CreditMinAdapt,4,transpose,0.02,314,50.8688,43.0525,19.8724,0.019563,0.392516,ok
CreditMinAdapt,4,transpose,0.02,17,49.1683,41.7994,18.9768,0.019297,0.387313,ok
CreditMinAdapt,4,transpose,0.04,42,294.667,57.6432,26.9283,0.036406,0.732578,ok
CreditMinAdapt,4,transpose,0.04,1337,260.793,56.6812,26.2746,0.036172,0.727187,ok
CreditMinAdapt,4,transpose,0.04,2024,253.877,59.5101,27.5144,0.036484,0.731953,ok
CreditMinAdapt,4,transpose,0.08,42,513.289,59.0319,27.5103,0.039156,0.791156,ok
DDDQN,16,transpose,0.08,42,755.4,212.29,161.393,0.012291,0.249414,ok
CreditMinAdapt,4,transpose,0.08,1337,489.308,58.2557,27.0235,0.039594,0.801094,ok
CreditMinAdapt,4,transpose,0.04,314,248.796,57.8673,26.8529,0.035953,0.72275,ok
CreditMinAdapt,4,transpose,0.08,2024,494.731,58.6456,27.1958,0.0395,0.796,ok
CreditMinAdapt,4,transpose,0.04,17,257.499,57.1457,26.7432,0.036687,0.738453,ok
CreditMinAdapt,4,transpose,0.08,314,495.139,59.7118,28.115,0.039469,0.797,ok
CreditMinAdapt,4,transpose,0.08,17,505.455,58.6545,27.2651,0.03925,0.793687,ok
CreditMinAdapt,8,uniform,0.005,42,54.5065,53.6092,30.7092,0.004828,0.097031,ok
CreditMinAdapt,8,uniform,0.005,1337,54.0008,52.8855,30.2285,0.004875,0.097617,ok
CreditMinAdapt,8,uniform,0.005,2024,54.6868,53.6457,30.6948,0.00484,0.097238,ok
CreditMinAdapt,8,uniform,0.005,314,55.6514,54.3004,31.0041,0.004941,0.099031,ok
CreditMinAdapt,8,uniform,0.005,17,53.2075,52.0863,29.7956,0.004703,0.094305,ok
DDDQN,16,transpose,0.08,1337,742.13,209.99,159.508,0.012248,0.248521,ok
CreditMinAdapt,8,uniform,0.01,42,68.7522,65.3944,36.1732,0.00982,0.197375,ok
DDDQN,16,transpose,0.08,2024,743.818,211.014,160.615,0.012258,0.248549,ok
CreditMinAdapt,8,uniform,0.01,2024,68.8815,65.5296,36.2912,0.009883,0.198727,ok
CreditMinAdapt,8,uniform,0.01,1337,67.7861,65.2467,36.1597,0.009504,0.190762,ok
CreditMinAdapt,8,uniform,0.01,314,70.9441,67.2442,37.5988,0.009844,0.197977,ok
DDDQN,16,transpose,0.08,17,742.161,210.275,160.021,0.012178,0.247031,ok
CreditMinAdapt,8,uniform,0.01,17,67.4704,64.3424,35.778,0.009516,0.191312,ok
DDDQN,16,transpose,0.08,314,737.767,212.825,162.469,0.012225,0.247898,ok
CreditMinAdapt,8,uniform,0.04,42,505.816,149.155,101.185,0.019258,0.390094,ok
CreditMinAdapt,8,uniform,0.04,1337,511.378,151.801,103.995,0.018836,0.380961,ok
CreditMinAdapt,8,uniform,0.04,2024,511.243,149.093,101.932,0.019164,0.388617,ok
CreditMinAdapt,8,uniform,0.02,1337,219.665,121.736,78.9202,0.018199,0.366531,ok
CreditMinAdapt,8,uniform,0.02,42,259.091,123.759,80.878,0.018484,0.372504,ok
CreditMinAdapt,8,uniform,0.04,314,521.073,153.721,105.234,0.019,0.385766,ok
CreditMinAdapt,8,uniform,0.04,17,528.514,153.104,105.077,0.019281,0.392531,ok
CreditMinAdapt,8,uniform,0.02,2024,282.685,127.349,83.3928,0.018594,0.374328,ok
CreditMinAdapt,8,uniform,0.08,42,764.126,151.727,103.31,0.019367,0.392914,ok
CreditMinAdapt,8,uniform,0.02,314,219.137,118.991,79.8137,0.018207,0.367398,ok
CreditMinAdapt,8,hotspot,0.005,42,704.798,600.515,516.125,0.000773,0.015531,ok
CreditMinAdapt,8,hotspot,0.005,1337,651.062,571.292,495.422,0.00075,0.015453,ok
CreditMinAdapt,8,hotspot,0.005,2024,656.691,587.454,521.7,0.000758,0.015453,ok
CreditMinAdapt,8,hotspot,0.005,314,627.639,550.907,458.48,0.000758,0.0155,ok
CreditMinAdapt,8,uniform,0.02,17,219.417,118.031,75.8,0.018336,0.36943,ok
CreditMinAdapt,8,hotspot,0.005,17,664.367,559.459,476.183,0.000766,0.015445,ok
CreditMinAdapt,8,hotspot,0.01,42,778.816,578.98,486.506,0.000766,0.015531,ok
CreditMinAdapt,8,uniform,0.08,1337,758.498,150.835,103.013,0.019586,0.398242,ok
CreditMinAdapt,8,uniform,0.08,2024,756.854,155.333,106.977,0.019328,0.392773,ok
CreditMinAdapt,8,uniform,0.08,314,758.822,152.87,104.564,0.019531,0.396602,ok
CreditMinAdapt,8,hotspot,0.01,1337,741.418,566.449,483.87,0.000766,0.015508,ok
CreditMinAdapt,8,hotspot,0.01,2024,736.625,556.615,494.879,0.00075,0.015453,ok
CreditMinAdapt,8,hotspot,0.01,314,801.286,652.582,569.314,0.000766,0.015461,ok
CreditMinAdapt,8,hotspot,0.01,17,799.433,618.021,540.153,0.000758,0.015469,ok
CreditMinAdapt,8,hotspot,0.02,42,873.49,619.156,532.07,0.00075,0.015531,ok
CreditMinAdapt,8,hotspot,0.02,1337,865.194,575.082,499.349,0.000766,0.015578,ok
CreditMinAdapt,8,uniform,0.08,17,769.387,156.066,107.254,0.019141,0.388492,ok
CreditMinAdapt,8,hotspot,0.02,2024,829.917,613.667,549.651,0.00075,0.015516,ok
CreditMinAdapt,8,hotspot,0.02,314,876.979,630.649,565.32,0.000758,0.015469,ok
CreditMinAdapt,8,hotspot,0.02,17,884.835,681.577,581.357,0.000758,0.015445,ok
CreditMinAdapt,8,hotspot,0.04,1337,930.582,656.327,563.009,0.000766,0.015578,ok
CreditMinAdapt,8,hotspot,0.04,42,952.283,649.758,554.055,0.000773,0.015531,ok
CreditMinAdapt,8,hotspot,0.04,314,962.0,644.398,549.943,0.000766,0.015555,ok
CreditMinAdapt,8,hotspot,0.04,17,957.724,590.694,492.285,0.000766,0.015406,ok
CreditMinAdapt,8,hotspot,0.04,2024,946.845,634.247,552.016,0.000758,0.015516,ok
CreditMinAdapt,8,hotspot,0.08,1337,997.268,620.856,535.561,0.000758,0.01525,ok
CreditMinAdapt,8,hotspot,0.08,2024,988.184,641.337,547.826,0.000766,0.015531,ok
CreditMinAdapt,8,hotspot,0.08,42,989.01,620.469,532.044,0.000766,0.015531,ok
CreditMinAdapt,8,hotspot,0.08,314,982.711,623.33,551.097,0.000758,0.015523,ok
CreditMinAdapt,8,hotspot,0.08,17,969.227,533.948,465.17,0.000758,0.015578,ok
CreditMinAdapt,8,transpose,0.005,42,54.3108,53.289,30.23,0.004852,0.097238,ok
CreditMinAdapt,8,transpose,0.005,1337,53.9016,52.5808,29.9896,0.004879,0.097641,ok
CreditMinAdapt,8,transpose,0.005,2024,54.2969,53.1384,30.6878,0.004855,0.097172,ok
CreditMinAdapt,8,transpose,0.005,17,52.3744,51.3735,29.5714,0.004695,0.094102,ok
CreditMinAdapt,8,transpose,0.005,314,53.5083,52.5408,29.91,0.004934,0.099215,ok
CreditMinAdapt,8,transpose,0.01,42,64.3345,61.6905,34.3322,0.009813,0.197621,ok
CreditMinAdapt,8,transpose,0.01,1337,63.0538,60.0197,33.5447,0.009512,0.190801,ok
CreditMinAdapt,8,transpose,0.01,2024,63.7303,60.5418,33.3979,0.009895,0.198746,ok
CreditMinAdapt,8,transpose,0.01,314,66.3476,62.8207,35.2129,0.009879,0.198219,ok
CreditMinAdapt,8,transpose,0.01,17,63.9428,60.9886,33.9582,0.009555,0.191754,ok
CreditMinAdapt,8,transpose,0.04,42,394.112,125.588,82.8908,0.021367,0.433125,ok
CreditMinAdapt,8,transpose,0.04,1337,396.906,128.545,85.6211,0.021125,0.428398,ok
CreditMinAdapt,8,transpose,0.04,2024,398.122,126.065,83.3706,0.021523,0.436836,ok
CreditMinAdapt,8,transpose,0.04,314,391.531,125.557,83.49,0.021336,0.43307,ok
CreditMinAdapt,8,transpose,0.04,17,392.176,126.121,83.946,0.021313,0.432328,ok
CreditMinAdapt,8,transpose,0.08,42,660.85,122.02,80.7393,0.022805,0.462352,ok
CreditMinAdapt,8,transpose,0.02,2024,383.058,118.193,76.3754,0.018,0.362605,ok
CreditMinAdapt,8,transpose,0.02,42,343.103,116.766,76.6291,0.018004,0.363129,ok
CreditMinAdapt,8,transpose,0.02,1337,311.56,112.477,73.7545,0.017594,0.354906,ok
CreditMinAdapt,8,transpose,0.02,314,343.776,114.966,75.8662,0.017602,0.354867,ok
CreditMinAdapt,8,transpose,0.02,17,334.176,117.239,75.2971,0.017664,0.3555,ok
CreditMinAdapt,8,transpose,0.08,1337,646.794,122.513,81.0144,0.02293,0.464367,ok
CreditMinAdapt,8,transpose,0.08,2024,649.424,123.459,82.007,0.022922,0.464531,ok
CreditMinAdapt,8,transpose,0.08,314,643.875,121.696,80.36,0.023023,0.46668,ok
CreditMinAdapt,8,transpose,0.08,17,645.877,123.714,82.0907,0.022898,0.463383,ok
CreditMinAdapt,16,uniform,0.005,42,90.742,89.3398,59.1097,0.004869,0.097928,ok
CreditMinAdapt,16,uniform,0.005,1337,91.5507,90.2693,59.7076,0.004866,0.097793,ok
CreditMinAdapt,16,uniform,0.005,2024,90.6621,89.2721,59.2876,0.004787,0.096242,ok
CreditMinAdapt,16,uniform,0.005,314,91.4791,90.0578,59.5318,0.004859,0.097829,ok
CreditMinAdapt,16,uniform,0.005,17,89.9735,88.5882,58.6947,0.004834,0.09719,ok
CreditMinAdapt,16,uniform,0.02,42,517.982,359.897,309.552,0.006344,0.127639,ok
CreditMinAdapt,16,uniform,0.02,2024,489.376,343.437,293.653,0.006215,0.124814,ok
CreditMinAdapt,16,uniform,0.02,1337,480.077,338.766,290.69,0.006701,0.1349,ok
CreditMinAdapt,16,uniform,0.02,17,443.576,323.728,274.855,0.005506,0.110215,ok
CreditMinAdapt,16,uniform,0.02,314,449.078,330.733,281.796,0.005477,0.109945,ok
CreditMinAdapt,16,uniform,0.04,42,532.231,347.285,300.319,0.004707,0.09435,ok
CreditMinAdapt,16,uniform,0.01,2024,280.304,238.276,191.368,0.008723,0.175521,ok
CreditMinAdapt,16,uniform,0.01,42,276.202,231.125,184.821,0.008688,0.174781,ok
CreditMinAdapt,16,uniform,0.04,1337,652.721,408.617,356.472,0.005236,0.105057,ok
CreditMinAdapt,16,uniform,0.04,2024,631.801,367.65,316.702,0.005805,0.116598,ok
CreditMinAdapt,16,uniform,0.01,17,266.841,226.077,179.879,0.008814,0.177474,ok
CreditMinAdapt,16,uniform,0.01,314,294.538,245.444,198.475,0.00867,0.174355,ok
CreditMinAdapt,16,uniform,0.01,1337,246.642,217.283,171.667,0.008747,0.176276,ok
CreditMinAdapt,16,uniform,0.04,314,631.841,364.982,314.706,0.005881,0.118256,ok
CreditMinAdapt,16,hotspot,0.005,42,793.598,731.557,665.665,0.000189,0.003885,ok
CreditMinAdapt,16,hotspot,0.005,1337,813.289,753.691,673.06,0.000189,0.003861,ok
CreditMinAdapt,16,uniform,0.04,17,591.277,370.358,320.702,0.004932,0.098785,ok
CreditMinAdapt,16,uniform,0.08,42,795.319,423.158,370.826,0.005965,0.120039,ok
CreditMinAdapt,16,hotspot,0.005,2024,839.474,776.196,696.378,0.000189,0.003859,ok
CreditMinAdapt,16,hotspot,0.005,314,754.134,685.247,608.958,0.000189,0.003871,ok
CreditMinAdapt,16,hotspot,0.005,17,836.103,771.485,700.485,0.000189,0.003852,ok
CreditMinAdapt,16,hotspot,0.01,1337,853.124,747.124,680.518,0.000189,0.003863,ok
CreditMinAdapt,16,hotspot,0.01,42,853.612,785.0,706.663,0.000191,0.003887,ok
CreditMinAdapt,16,hotspot,0.01,2024,858.392,732.165,638.605,0.000189,0.003877,ok
CreditMinAdapt,16,uniform,0.08,1337,760.673,411.3,359.581,0.005611,0.11273,ok
CreditMinAdapt,16,uniform,0.08,314,602.471,345.371,296.536,0.004512,0.09043,ok
CreditMinAdapt,16,hotspot,0.01,314,895.52,768.449,685.67,0.000191,0.003861,ok
CreditMinAdapt,16,uniform,0.08,2024,708.054,380.312,330.353,0.005207,0.104602,ok
CreditMinAdapt,16,uniform,0.08,17,705.888,389.763,336.609,0.00507,0.101752,ok
CreditMinAdapt,16,hotspot,0.01,17,884.32,780.33,675.276,0.000189,0.003885,ok
CreditMinAdapt,16,hotspot,0.02,42,965.898,821.857,701.461,0.000191,0.003887,ok
CreditMinAdapt,16,hotspot,0.02,1337,963.804,784.412,686.31,0.000189,0.003863,ok
CreditMinAdapt,16,hotspot,0.02,314,954.66,795.825,735.97,0.000189,0.003873,ok
CreditMinAdapt,16,hotspot,0.02,2024,940.66,784.093,694.355,0.000189,0.003877,ok
CreditMinAdapt,16,hotspot,0.02,17,934.01,803.133,710.254,0.000191,0.003893,ok
CreditMinAdapt,16,hotspot,0.04,42,984.253,784.414,683.671,0.000193,0.003889,ok
CreditMinAdapt,16,hotspot,0.04,1337,966.673,755.622,664.283,0.000191,0.003873,ok
CreditMinAdapt,16,hotspot,0.04,2024,940.43,728.172,677.052,0.000182,0.003779,ok
CreditMinAdapt,16,hotspot,0.04,314,977.265,780.663,694.215,0.000191,0.003879,ok
CreditMinAdapt,16,hotspot,0.04,17,949.443,741.526,636.469,0.000189,0.003891,ok
CreditMinAdapt,16,hotspot,0.08,1337,1003.15,778.724,687.507,0.000191,0.003879,ok
CreditMinAdapt,16,hotspot,0.08,42,1003.97,752.825,670.683,0.000189,0.003791,ok
CreditMinAdapt,16,hotspot,0.08,2024,1000.95,793.806,686.735,0.000191,0.003881,ok
CreditMinAdapt,16,hotspot,0.08,314,979.186,796.722,709.849,0.000189,0.003887,ok
CreditMinAdapt,16,hotspot,0.08,17,968.773,713.701,649.523,0.000189,0.003895,ok
CreditMinAdapt,16,transpose,0.005,42,95.378,93.7513,62.1153,0.004865,0.097835,ok
CreditMinAdapt,16,transpose,0.005,2024,93.555,92.0212,60.7423,0.004784,0.096267,ok
CreditMinAdapt,16,transpose,0.005,1337,95.1786,93.6123,61.9227,0.00486,0.097806,ok
CreditMinAdapt,16,transpose,0.005,314,94.8029,93.344,61.9268,0.004875,0.097902,ok
CreditMinAdapt,16,transpose,0.005,17,96.9207,95.3894,63.5285,0.004821,0.097142,ok
CreditMinAdapt,16,transpose,0.02,42,411.497,231.46,176.707,0.009893,0.201104,ok
CreditMinAdapt,16,transpose,0.02,1337,405.0,234.386,180.489,0.009758,0.198186,ok
CreditMinAdapt,16,transpose,0.02,2024,413.77,230.855,177.4,0.0099,0.201246,ok
CreditMinAdapt,16,transpose,0.01,1337,318.333,230.568,178.626,0.008221,0.165724,ok
CreditMinAdapt,16,transpose,0.01,42,338.275,233.678,181.645,0.00832,0.16766,ok
CreditMinAdapt,16,transpose,0.01,2024,335.127,233.844,181.682,0.008312,0.167491,ok
CreditMinAdapt,16,transpose,0.01,314,337.944,235.837,183.061,0.008282,0.166875,ok
CreditMinAdapt,16,transpose,0.01,17,330.17,232.424,180.676,0.00825,0.166359,ok
CreditMinAdapt,16,transpose,0.02,17,417.388,236.394,182.599,0.009787,0.19891,ok
CreditMinAdapt,16,transpose,0.02,314,408.506,233.902,179.974,0.009879,0.200537,ok
CreditMinAdapt,16,transpose,0.04,42,563.292,219.312,167.055,0.011566,0.234529,ok
CreditMinAdapt,16,transpose,0.04,2024,558.875,217.671,166.729,0.011613,0.235693,ok
CreditMinAdapt,16,transpose,0.04,1337,550.1,216.073,164.947,0.011578,0.234824,ok
CreditMinAdapt,16,transpose,0.04,314,561.786,220.538,168.99,0.011414,0.23184,ok
CreditMinAdapt,16,transpose,0.04,17,569.069,220.053,168.425,0.01152,0.233369,ok
CreditMinAdapt,16,transpose,0.08,42,755.4,212.29,161.393,0.012291,0.249414,ok
CreditMinAdapt,16,transpose,0.08,1337,742.13,209.99,159.508,0.012248,0.248521,ok
CreditMinAdapt,16,transpose,0.08,2024,743.818,211.014,160.615,0.012258,0.248549,ok
CreditMinAdapt,16,transpose,0.08,314,737.767,212.825,162.469,0.012225,0.247898,ok
CreditMinAdapt,16,transpose,0.08,17,742.161,210.275,160.021,0.012178,0.247031,ok
